Training History
G_Loss: 0.014150
D_Loss: 2.000000
Val_PSNR: 35.6270
Val_SSIM: 0.952351

Epoch 194:
G_Loss: 0.013953
D_Loss: 2.000000
Val_PSNR: 35.7215
Val_SSIM: 0.949159

Epoch 195:
G_Loss: 0.014080
D_Loss: 2.000000
Val_PSNR: 35.4628
Val_SSIM: 0.944319

Epoch 196:
G_Loss: 0.014045
D_Loss: 2.000000
Val_PSNR: 35.0189
Val_SSIM: 0.949628

Epoch 197:
G_Loss: 0.014106
D_Loss: 2.000000
Val_PSNR: 35.6597
Val_SSIM: 0.946573

Epoch 198:
G_Loss: 0.014056
D_Loss: 2.000000
Val_PSNR: 35.8009
Val_SSIM: 0.954057

Epoch 199:
G_Loss: 0.014001
D_Loss: 2.000000
Val_PSNR: 35.3852
Val_SSIM: 0.946900

Epoch 200:
G_Loss: 0.014034
D_Loss: 2.000000
Val_PSNR: 35.6809
Val_SSIM: 0.949238

Epoch 201:
G_Loss: 0.013948
D_Loss: 2.000000
Val_PSNR: 34.7919
Val_SSIM: 0.949590

Epoch 202:
G_Loss: 0.014489
D_Loss: 2.000000
Val_PSNR: 35.5307
Val_SSIM: 0.950657

Epoch 203:
G_Loss: 0.014195
D_Loss: 2.000000
Val_PSNR: 34.5677
Val_SSIM: 0.938450

Epoch 204:
G_Loss: 0.014064
D_Loss: 2.000000
Val_PSNR: 35.2689
Val_SSIM: 0.935368

Epoch 205:
G_Loss: 0.013891
D_Loss: 2.000000
Val_PSNR: 35.7207
Val_SSIM: 0.950862

Epoch 206:
G_Loss: 0.013982
D_Loss: 2.000000
Val_PSNR: 35.7702
Val_SSIM: 0.948698

Epoch 207:
G_Loss: 0.014069
D_Loss: 2.000000
Val_PSNR: 35.5135
Val_SSIM: 0.948115

Epoch 208:
G_Loss: 0.013945
D_Loss: 2.000000
Val_PSNR: 35.3192
Val_SSIM: 0.948653

Epoch 209:
G_Loss: 0.014101
D_Loss: 2.000000
Val_PSNR: 35.7028
Val_SSIM: 0.949885

Epoch 210:
G_Loss: 0.013939
D_Loss: 2.000000
Val_PSNR: 35.7208
